Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Safe execution of learned orientation skills with conic control barrier functions,2024,ICRA,minimizing input,Haptic,Optimization,General Manipulation,https://arxiv.org/abs/2403.05447
Collaborative robot-assisted endovascular catheterization with generative adversarial imitation learning,2020,ICRA,minimizing time,Direct Control Interfaces,Reinforcement Learning; Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9196912/media#media
Haptic-guided path generation for remote car-like vehicles,2021,RA-L,improving input quality,Haptic,Imitation Learning; Compliance Control,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/9384198
Intelligent locomotion planning with enhanced postural stability for lower-limb exoskeletons,2021,RA-L,improving input quality,Kinesthetic Control,Compliance Control; Optimization; Filtering,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9495154
Fast obstacle avoidance based on real-time sensing,2022,RA-L,improving input quality,Direct Control Interfaces,Filtering,Assistive Robotics,https://arxiv.org/abs/2205.04928
Distilling and retrieving generalizable knowledge for robot manipulation via language corrections,2024,ICRA,minimizing input,Language Controller,LLM,General Manipulation,https://arxiv.org/abs/2311.10678
Faster confined space manufacturing teleoperation through dynamic autonomy with task dynamics imitation learning,2020,RA-L,minimizing time,Haptic,Traded Control,Industrial Robotics,https://ieeexplore.ieee.org/abstract/document/8976114
Motion mappings for continuous bilateral teleoperation,2021,RA-L,improving input quality,Kinesthetic Control,Generative Modelling,General Manipulation,https://arxiv.org/pdf/2012.06268
Learning-based multimodal control for a supernumerary robotic system in human-robot collaborative sorting,2024,RA-L,improving input quality,Physiological Signal,Deep Learning,Assistive Robotics,
A hybrid model-based evolutionary optimization with passive boundaries for physical human-robot interaction,2022,ICRA,improving input quality,Haptic,Templates; Compliance Control; Optimization; Filtering,Medical Robotics,https://arxiv.org/abs/2203.00458
StROL: Stabilized and robust online learning from humans,2024,RA-L,minimizing input,Kinesthetic Control,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2308.09863
Robot Grasping through a Joint-Initiative Supervised Autonomy Framework,2022,ICRA,minimizing time,GUI,Supervisory,General Manipulation,https://ieeexplore.ieee.org/document/9811721
The flux one magnetic navigation system: a preliminary assessment for stent implantation,2023,RA-L,minimizing time,Direct Control Interfaces; GUI; Haptic,Supervisory,Medical Robotics,https://ieeexplore.ieee.org/document/10160094
"Think, act, and ask: Open-world interactive personalized robot navigation",2024,ICRA,minimizing time,Language Controller,LLM,Navigation Robotics,https://arxiv.org/abs/2310.07968
Force-guided high-precision grasping control of fragile and deformable objects using semg-based force prediction,2020,RA-L,improving input quality,Physiological Signal,Optimization,Assistive Robotics,https://arxiv.org/abs/2002.01791
A-SEE: active-sensing end-effector enabled probe self-normal-positioning for robotic ultrasound imaging applications,2022,RA-L,minimizing input,Direct Control Interfaces,Divisible,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9932673
Exploiting inherent human motor behaviour in the online personalisation of human-prosthetic interfaces,2021,RA-L,improving input quality,Physiological Signal,Optimization,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9361165
Unified power and admittance adaptation for safe and effective physical interaction with unmodelled dynamic environments,2023,RA-L,improving input quality,Kinesthetic Control,Compliance Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10295967
Proportional and reachable cluster teleoperation of a distributed multi-robot system,2021,ICRA,maximizing output,Haptic,Multi-Robot Control,Emergency Response Robotics,https://ieeexplore.ieee.org/abstract/document/9561156
A Robot Humanoid Control Framework through Human Arm Active Endpoint Stiffness and Direction Adaptive Compensation,2024,RA-L,improving input quality,Haptic; Kinesthetic Control,Compliance Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10599793
Dynamic locomotion teleoperation of a reduced model of a wheeled humanoid robot using a whole-body human-machine interface,2021,RA-L,improving input quality,Haptic,Input Mapping,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/9664235
Learning latent actions without human demonstrations,2022,ICRA,minimizing input,Direct Control Interfaces,Input Blending; Intent/Goal Inference,Assistive Robotics,https://arxiv.org/abs/2109.08801v1
A novel assistive controller based on differential geometry for users of the differential-drive wheeled mobile robots,2022,ICRA,improving input quality,Direct Control Interfaces,Compliance Control; Optimization,Assistive Robotics,https://arxiv.org/abs/2202.01969
Semi-autonomous teleoperation via learning non-prehensile manipulation skills,2022,ICRA,minimizing time,GUI,Reinforcement Learning,General Manipulation,https://arxiv.org/abs/2109.13081
Accelerated robot learning via human brain signals,2020,ICRA,minimizing input,Physiological Signal,Reinforcement Learning,Navigation Robotics,https://arxiv.org/abs/1910.00682
Enhancing the llm-based robot manipulation through human-robot collaboration,2024,RA-L,minimizing time,VR/AR,LLM,General Manipulation,https://arxiv.org/abs/2406.14097
Assisting operators of articulated machinery with optimal planning and goal inference,2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Intent/Goal Inference,Industrial Robotics,https://ieeexplore.ieee.org/document/9811864
Asha: Assistive teleoperation via human-in-the-loop reinforcement learning,2022,ICRA,improving input quality,Physiological Signal,Reinforcement Learning,Assistive Robotics,https://arxiv.org/abs/2202.02465
Monte Carlo tree search with spectral expansion for planning with dynamical systems,2024,Science Robotics,improving input quality,Direct Control Interfaces,Planning,Assistive Robotics,https://arxiv.org/abs/2412.11270
Polite: Preferences combined with highlights in reinforcement learning,2024,ICRA,minimizing input,GUI,Reinforcement Learning,Navigation Robotics,
A Laser-Guided Interaction Interface for Providing Effective Robot Assistance to People With Upper Limbs Impairments,2024,RA-L,minimizing input,Physiological Signal,Input Mapping,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10602529
A step towards conditional autonomy-robotic appendectomy,2023,RA-L,minimizing time,GUI,Generative Modelling,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10065461
Implicit neural field guidance for teleoperated robot-assisted surgery,2023,ICRA,improving input quality,Haptic,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10160475
Dual-mode human-robot collaboration with guaranteed safety using time-varying zeroing control barrier functions and quadratic program,2023,RA-L,minimizing input,Kinesthetic Control,Traded Control,HRC,https://ieeexplore.ieee.org/abstract/document/10202187
Towards safe human-quadrotor interaction: Mixed-initiative control via real-time NMPC,2021,RA-L,improving input quality,Simulation/Dataset,Optimization,UAV,https://ris.utwente.nl/ws/files/313959804/Towards_Safe_Human_Quadrotor_Interaction_Mixed_Initiative_Control_via_Real_Time_NMPC.pdf
Virtual fixture assistance for suturing in robot-aided pediatric endoscopic surgery,2020,RA-L,improving input quality,Haptic,Virtual Fixtures,Medical Robotics,https://arxiv.org/abs/1909.03724
